0 : 0 	2 	1 	2 ||| 0 	1 	7 	2
1 : 0 	2 	1 	4 ||| 0 	1 	7 	4
2 : 0 	2 	1 	6 ||| 0 	1 	7 	6
3 : 0 	2 	1 	8 ||| 0 	1 	7 	8
4 : 0 	2 	1 	10 ||| 0 	1 	7 	10
5 : 0 	2 	2 	1 ||| 0 	1 	8 	1
6 : 0 	2 	2 	3 ||| 0 	1 	8 	3
7 : 0 	2 	2 	5 ||| 0 	1 	8 	5
8 : 0 	2 	2 	7 ||| 0 	1 	8 	7
9 : 0 	2 	2 	9 ||| 0 	1 	8 	9
10 : 0 	2 	3 	2 ||| 0 	1 	9 	2
11 : 0 	2 	3 	4 ||| 0 	1 	9 	4
12 : 0 	2 	3 	6 ||| 0 	1 	9 	6
13 : 0 	2 	3 	8 ||| 0 	1 	9 	8
14 : 0 	2 	3 	10 ||| 0 	1 	9 	10
15 : 0 	2 	4 	1 ||| 0 	1 	10 	1
16 : 0 	2 	4 	3 ||| 0 	1 	10 	3
17 : 0 	2 	4 	5 ||| 0 	1 	10 	5
18 : 0 	2 	4 	7 ||| 0 	1 	10 	7
19 : 0 	2 	4 	9 ||| 0 	1 	10 	9
